zone_id,centroid_lat,centroid_lon,zone_name
213,42.6857405026112,9.301135724825503,"Zone à caractère méditerranéen, avec pentes fortes"
216,42.25060608869606,9.082839712268276,"Zone non méditerranéenne, avec pentes fortes"
214,42.339069036860465,9.344307970124541,"Zone non méditerranéenne, avec pentes fortes"
215,42.38997000144994,9.237801595970067,"Zone à caractère méditerranéen, avec pentes fortes"
211,42.811987398997246,9.419499941449988,"Zone à caractère méditerranéen, avec pentes fortes"
212,42.362463654400166,9.468591771268873,"Zone à caractère méditerranéen"
218,42.02663652999585,9.405827318246065,"Zone à caractère méditerranéen"
205,41.7374486160491,9.123326824939255,"Zone à caractère méditerranéen, avec pentes fortes"
201,42.20828595327168,8.67895538310912,"Zone à caractère méditerranéen, avec pentes fortes"
202,41.93566898649095,8.803504547712919,"Zone à caractère méditerranéen, avec pentes fortes"
203,41.66029887360461,8.929554038795146,"Zone à caractère méditerranéen, avec pentes fortes"
204,42.09968687501468,8.907573278727343,"Zone à caractère méditerranéen, avec pentes fortes"
217,42.54124201957747,8.917238680599239,"Zone à caractère méditerranéen, avec pentes fortes"
206,42.03001181219895,9.082348362737097,"Zone non méditerranéenne, avec pentes fortes"
208,41.63205950802437,9.289628858419631,"Zone à caractère méditerranéen"
207,41.473629733446046,9.15650096314041,"Zone à caractère méditerranéen"
209,41.79702292460437,9.32738609692466,"Zone à caractère méditerranéen"
